Geographic	Habitat	Habitat_sub	Type_interaction	Taxonomy_consumer	Taxonomy_resource	Metabolic_consumer	Metabolic_resource	Mass_consumer	Mass_resource
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella cochlearis	Chromulina sp.	invertebrate	photo-autotroph	0.00000001	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella cochlearis	Chromulina sp.	invertebrate	photo-autotroph	0.00000001	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella testudo	Chromulina sp.	invertebrate	photo-autotroph	0.00000001	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella cochlearis	Unclassified microflagellates	invertebrate	photo-autotroph	0.00000001	1.02E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella cochlearis	Trachelomonas sp.	invertebrate	photo-autotroph	0.00000001	1.75E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella testudo	Trachelomonas sp.	invertebrate	photo-autotroph	0.00000001	1.75E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella cochlearis	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000001	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella cochlearis	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000001	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella testudo	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000001	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella cochlearis	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000001	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella cochlearis	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000001	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella testudo	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000001	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella cochlearis	Selenastrum minutum	invertebrate	photo-autotroph	0.00000001	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella cochlearis	Selenastrum minutum	invertebrate	photo-autotroph	0.00000001	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella testudo	Selenastrum minutum	invertebrate	photo-autotroph	0.00000001	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella cochlearis	Unclassified flagellates	invertebrate	photo-autotroph	0.00000001	3.46E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella testudo	Unclassified flagellates	invertebrate	photo-autotroph	0.00000001	3.46E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella cochlearis	Chroococcus limneticus	invertebrate	photo-autotroph	0.00000001	1.31E-009
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella testudo	Chromulina sp.	invertebrate	photo-autotroph	0.000000015	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella testudo	Unclassified microflagellates	invertebrate	photo-autotroph	0.000000015	1.02E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella testudo	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.000000015	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella testudo	Chroococcus dispersus	invertebrate	photo-autotroph	0.000000015	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella testudo	Selenastrum minutum	invertebrate	photo-autotroph	0.000000015	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella testudo	Chroococcus limneticus	invertebrate	photo-autotroph	0.000000015	1.31E-009
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia bostoniensis	Chromulina sp.	invertebrate	photo-autotroph	0.00000002	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Kellicottia sp.	Chromulina sp.	invertebrate	photo-autotroph	0.00000002	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia bostoniensis	Unclassified microflagellates	invertebrate	photo-autotroph	0.00000002	1.02E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Kellicottia sp.	Trachelomonas sp.	invertebrate	photo-autotroph	0.00000002	1.75E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia bostoniensis	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000002	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Kellicottia sp.	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000002	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia bostoniensis	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000002	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Kellicottia sp.	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000002	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia bostoniensis	Selenastrum minutum	invertebrate	photo-autotroph	0.00000002	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Kellicottia sp.	Selenastrum minutum	invertebrate	photo-autotroph	0.00000002	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Kellicottia sp.	Unclassified flagellates	invertebrate	photo-autotroph	0.00000002	3.46E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia bostoniensis	Chroococcus limneticus	invertebrate	photo-autotroph	0.00000002	1.31E-009
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochilus (solitary)	Chromulina sp.	invertebrate	photo-autotroph	0.000000035	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochilus (solitary)	Trachelomonas sp.	invertebrate	photo-autotroph	0.000000035	1.75E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochilus (solitary)	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.000000035	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochilus (solitary)	Closteriopsis longissimus	invertebrate	photo-autotroph	0.000000035	2.37E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochilus (solitary)	Chroococcus dispersus	invertebrate	photo-autotroph	0.000000035	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochilus (solitary)	Selenastrum minutum	invertebrate	photo-autotroph	0.000000035	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochilus (solitary)	Unclassified flagellates	invertebrate	photo-autotroph	0.000000035	3.46E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia longispina	Chromulina sp.	invertebrate	photo-autotroph	0.000000045	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia longispina	Unclassified microflagellates	invertebrate	photo-autotroph	0.000000045	1.02E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia longispina	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.000000045	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia longispina	Chroococcus dispersus	invertebrate	photo-autotroph	0.000000045	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia longispina	Selenastrum minutum	invertebrate	photo-autotroph	0.000000045	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia longispina	Chroococcus limneticus	invertebrate	photo-autotroph	0.000000045	1.31E-009
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1986	herbivorous	Trichocerca multicrinis	Chromulina sp.	invertebrate	photo-autotroph	0.00000007	3.03E-011
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1986	herbivorous	Trichocerca multicrinis	Unclassified microflagellates	invertebrate	photo-autotroph	0.00000007	1.02E-010
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1986	herbivorous	Trichocerca multicrinis	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000007	2.03E-010
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1986	herbivorous	Trichocerca multicrinis	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000007	2.39E-010
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1986	herbivorous	Trichocerca multicrinis	Selenastrum minutum	invertebrate	photo-autotroph	0.00000007	2.72E-010
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1986	herbivorous	Trichocerca multicrinis	Chroococcus limneticus	invertebrate	photo-autotroph	0.00000007	1.31E-009
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Gastropus stylifer	Chromulina sp.	invertebrate	photo-autotroph	0.0000001	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Gastropus stylifer	Unclassified microflagellates	invertebrate	photo-autotroph	0.0000001	1.02E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Gastropus stylifer	Ankyra judayi	invertebrate	photo-autotroph	0.0000001	1.53E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Gastropus stylifer	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.0000001	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Gastropus stylifer	Chroococcus dispersus	invertebrate	photo-autotroph	0.0000001	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Gastropus stylifer	Selenastrum minutum	invertebrate	photo-autotroph	0.0000001	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Gastropus stylifer	Chroococcus limneticus	invertebrate	photo-autotroph	0.0000001	1.31E-009
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Ploesoma sp.	Chromulina sp.	invertebrate	photo-autotroph	0.000000105	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Ploesoma sp.	Trachelomonas sp.	invertebrate	photo-autotroph	0.000000105	1.75E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Ploesoma sp.	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.000000105	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Ploesoma sp.	Chroococcus dispersus	invertebrate	photo-autotroph	0.000000105	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Ploesoma sp.	Selenastrum minutum	invertebrate	photo-autotroph	0.000000105	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Ploesoma sp.	Unclassified flagellates	invertebrate	photo-autotroph	0.000000105	3.46E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Gastropus hyptopus	Chromulina sp.	invertebrate	photo-autotroph	0.000000135	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Gastropus stylifer	Chromulina sp.	invertebrate	photo-autotroph	0.000000135	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Gastropus hyptopus	Unclassified microflagellates	invertebrate	photo-autotroph	0.000000135	1.02E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Gastropus stylifer	Trachelomonas sp.	invertebrate	photo-autotroph	0.000000135	1.75E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Gastropus hyptopus	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.000000135	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Gastropus stylifer	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.000000135	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Gastropus hyptopus	Chroococcus dispersus	invertebrate	photo-autotroph	0.000000135	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Gastropus stylifer	Chroococcus dispersus	invertebrate	photo-autotroph	0.000000135	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Gastropus hyptopus	Selenastrum minutum	invertebrate	photo-autotroph	0.000000135	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Gastropus stylifer	Selenastrum minutum	invertebrate	photo-autotroph	0.000000135	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Gastropus stylifer	Unclassified flagellates	invertebrate	photo-autotroph	0.000000135	3.46E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Gastropus hyptopus	Chroococcus limneticus	invertebrate	photo-autotroph	0.000000135	1.31E-009
Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan 	freshwater	small, mildly acidic lake, 1984	herbivorous	Ascomorpha eucadis	Chromulina sp.	invertebrate	photo-autotroph	0.00000014	3.03E-011
Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan 	freshwater	small, mildly acidic lake, 1984	herbivorous	Ascomorpha eucadis	Trachelomonas sp.	invertebrate	photo-autotroph	0.00000014	1.75E-010
Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan 	freshwater	small, mildly acidic lake, 1984	herbivorous	Ascomorpha eucadis	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000014	2.03E-010
Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan 	freshwater	small, mildly acidic lake, 1984	herbivorous	Ascomorpha eucadis	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000014	2.39E-010
Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan 	freshwater	small, mildly acidic lake, 1984	herbivorous	Ascomorpha eucadis	Selenastrum minutum	invertebrate	photo-autotroph	0.00000014	2.72E-010
Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan 	freshwater	small, mildly acidic lake, 1984	herbivorous	Ascomorpha eucadis	Unclassified flagellates	invertebrate	photo-autotroph	0.00000014	3.46E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochiloides dossuarius	Chromulina sp.	invertebrate	photo-autotroph	0.00000016	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Conochiluides dossuarius	Chromulina sp.	invertebrate	photo-autotroph	0.00000016	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Conochiluides dossuarius	Unclassified microflagellates	invertebrate	photo-autotroph	0.00000016	1.02E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochiloides dossuarius	Trachelomonas sp.	invertebrate	photo-autotroph	0.00000016	1.75E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Conochiluides dossuarius	Closteriopsis longissimus	invertebrate	photo-autotroph	0.00000016	1.98E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochiloides dossuarius	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000016	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Conochiluides dossuarius	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000016	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochiloides dossuarius	Closteriopsis longissimus	invertebrate	photo-autotroph	0.00000016	2.37E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochiloides dossuarius	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000016	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Conochiluides dossuarius	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000016	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochiloides dossuarius	Selenastrum minutum	invertebrate	photo-autotroph	0.00000016	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Conochiluides dossuarius	Selenastrum minutum	invertebrate	photo-autotroph	0.00000016	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochiloides dossuarius	Unclassified flagellates	invertebrate	photo-autotroph	0.00000016	3.46E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Conochiluides dossuarius	Chroococcus limneticus	invertebrate	photo-autotroph	0.00000016	1.31E-009
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Filinia longispina	Chromulina sp.	invertebrate	photo-autotroph	0.00000018	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Filinia longispina	Trachelomonas sp.	invertebrate	photo-autotroph	0.00000018	1.75E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Filinia longispina	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000018	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Filinia longispina	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000018	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Filinia longispina	Selenastrum minutum	invertebrate	photo-autotroph	0.00000018	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Filinia longispina	Unclassified flagellates	invertebrate	photo-autotroph	0.00000018	3.46E-010
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1984	herbivorous	Trichocerca multicrinis	Chromulina sp.	invertebrate	photo-autotroph	0.00000025	3.03E-011
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1984	herbivorous	Trichocerca multicrinis	Trachelomonas sp.	invertebrate	photo-autotroph	0.00000025	1.75E-010
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1984	herbivorous	Trichocerca multicrinis	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000025	2.03E-010
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1984	herbivorous	Trichocerca multicrinis	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000025	2.39E-010
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1984	herbivorous	Trichocerca multicrinis	Selenastrum minutum	invertebrate	photo-autotroph	0.00000025	2.72E-010
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1984	herbivorous	Trichocerca multicrinis	Unclassified flagellates	invertebrate	photo-autotroph	0.00000025	3.46E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Polyarthra vulgaris	Chromulina sp.	invertebrate	photo-autotroph	0.00000026	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Polyarthra vulgaris	Unclassified microflagellates	invertebrate	photo-autotroph	0.00000026	1.02E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Polyarthra vulgaris	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000026	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Polyarthra vulgaris	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000026	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Polyarthra vulgaris	Selenastrum minutum	invertebrate	photo-autotroph	0.00000026	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Polyarthra vulgaris	Chroococcus limneticus	invertebrate	photo-autotroph	0.00000026	1.31E-009
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Synchaeta sp.	Chromulina sp.	invertebrate	photo-autotroph	0.00000037	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Synchaeta sp.	Unclassified microflagellates	invertebrate	photo-autotroph	0.00000037	1.02E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Synchaeta sp.	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000037	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Synchaeta sp.	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000037	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Synchaeta sp.	Selenastrum minutum	invertebrate	photo-autotroph	0.00000037	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Synchaeta sp.	Chroococcus limneticus	invertebrate	photo-autotroph	0.00000037	1.31E-009
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1984	herbivorous	Trichocerca cylindrica	Chromulina sp.	invertebrate	photo-autotroph	0.00000038	3.03E-011
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1985	herbivorous	Trichocerca cylindrica	Trachelomonas sp.	invertebrate	photo-autotroph	0.00000038	1.75E-010
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1984	herbivorous	Trichocerca cylindrica	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000038	2.03E-010
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1984	herbivorous	Trichocerca cylindrica	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000038	2.39E-010
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1984	herbivorous	Trichocerca cylindrica	Selenastrum minutum	invertebrate	photo-autotroph	0.00000038	2.72E-010
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1984	herbivorous	Trichocerca cylindrica	Unclassified flagellates	invertebrate	photo-autotroph	0.00000038	3.46E-010
Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan 	freshwater	small, mildly acidic lake, 1986	herbivorous	Ascomorpha eucadis	Chromulina sp.	invertebrate	photo-autotroph	0.0000004	3.03E-011
Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan 	freshwater	small, mildly acidic lake, 1986	herbivorous	Ascomorpha eucadis	Unclassified microflagellates	invertebrate	photo-autotroph	0.0000004	1.02E-010
Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan 	freshwater	small, mildly acidic lake, 1986	herbivorous	Ascomorpha eucadis	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.0000004	2.03E-010
Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan 	freshwater	small, mildly acidic lake, 1986	herbivorous	Ascomorpha eucadis	Chroococcus dispersus	invertebrate	photo-autotroph	0.0000004	2.39E-010
Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan 	freshwater	small, mildly acidic lake, 1986	herbivorous	Ascomorpha eucadis	Selenastrum minutum	invertebrate	photo-autotroph	0.0000004	2.72E-010
Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan 	freshwater	small, mildly acidic lake, 1986	herbivorous	Ascomorpha eucadis	Chroococcus limneticus	invertebrate	photo-autotroph	0.0000004	1.31E-009
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Polyarthra vulgaris	Chromulina sp.	invertebrate	photo-autotroph	0.000000465	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Polyarthra vulgaris	Trachelomonas sp.	invertebrate	photo-autotroph	0.000000465	1.75E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Polyarthra vulgaris	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.000000465	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Polyarthra vulgaris	Chroococcus dispersus	invertebrate	photo-autotroph	0.000000465	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Polyarthra vulgaris	Selenastrum minutum	invertebrate	photo-autotroph	0.000000465	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Polyarthra vulgaris	Unclassified flagellates	invertebrate	photo-autotroph	0.000000465	3.46E-010
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1986	herbivorous	Trichocerca cylindrica	Chromulina sp.	invertebrate	photo-autotroph	0.00000059	3.03E-011
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1986	herbivorous	Trichocerca cylindrica	Unclassified microflagellates	invertebrate	photo-autotroph	0.00000059	1.02E-010
Antarctica: Eastern Weddell Sea	freshwater	small, mildly acidic lake, 1986	herbivorous	Trichocerca cylindrica	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000059	2.03E-010
