"Geographic","Habitat","Type_interaction","Metabolic_consumer","Metabolic_resource","K_consumer","P_consumer","C_consumer","O_consumer","K_resource","P_resource","C_resource","O_resource","Mass_consumer","Mass_resource"
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",3.5e-08,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Trebouxiophyceae","Oocystales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",3.5e-08,2.37e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",3.5e-08,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",3.5e-08,2.72e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",7e-08,3.03e-11
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",7e-08,2.03e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",7e-08,2.39e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",7e-08,2.72e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",7e-08,1.31e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",1e-07,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",1e-07,1.53e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",1e-07,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",1e-07,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",1e-07,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",1e-07,1.31e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",1.05e-07,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Protozoa","Euglenophycota","Euglenophyceae","Euglenales","Animalia","Rotifera","Eurotatoria","Ploima",1.05e-07,1.75e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",1.05e-07,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",1.05e-07,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",1.05e-07,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",1.35e-07,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",1.35e-07,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Protozoa","Euglenophycota","Euglenophyceae","Euglenales","Animalia","Rotifera","Eurotatoria","Ploima",1.35e-07,1.75e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",1.35e-07,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",1.35e-07,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",1.35e-07,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",1.35e-07,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",1.35e-07,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",1.35e-07,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",1.35e-07,1.31e-09
"Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan ","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",1.4e-07,3.03e-11
"Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan ","freshwater","herbivorous","invertebrate","photo-autotroph","Protozoa","Euglenophycota","Euglenophyceae","Euglenales","Animalia","Rotifera","Eurotatoria","Ploima",1.4e-07,1.75e-10
"Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan ","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",1.4e-07,2.03e-10
"Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan ","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",1.4e-07,2.39e-10
"Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan ","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",1.4e-07,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.6e-07,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Protozoa","Euglenophycota","Euglenophyceae","Euglenales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.6e-07,1.75e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.6e-07,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Trebouxiophyceae","Oocystales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.6e-07,2.37e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.6e-07,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.6e-07,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.8e-07,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Protozoa","Euglenophycota","Euglenophyceae","Euglenales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.8e-07,1.75e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.8e-07,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.8e-07,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.8e-07,2.72e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",2.5e-07,3.03e-11
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Protozoa","Euglenophycota","Euglenophyceae","Euglenales","Animalia","Rotifera","Eurotatoria","Ploima",2.5e-07,1.75e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",2.5e-07,2.03e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",2.5e-07,2.39e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",2.5e-07,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",2.6e-07,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",2.6e-07,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",2.6e-07,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",2.6e-07,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",2.6e-07,1.31e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",3.7e-07,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",3.7e-07,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",3.7e-07,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",3.7e-07,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",3.7e-07,1.31e-09
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",3.8e-07,3.03e-11
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Protozoa","Euglenophycota","Euglenophyceae","Euglenales","Animalia","Rotifera","Eurotatoria","Ploima",3.8e-07,1.75e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",3.8e-07,2.03e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",3.8e-07,2.39e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",3.8e-07,2.72e-10
"Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan ","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",4e-07,3.03e-11
"Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan ","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",4e-07,2.03e-10
"Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan ","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",4e-07,2.39e-10
"Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan ","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",4e-07,2.72e-10
"Country: United States of America; UTM: 89.32'W, 46.13'N; Tuesday Lake, Michigan ","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",4e-07,1.31e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",4.65e-07,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Protozoa","Euglenophycota","Euglenophyceae","Euglenales","Animalia","Rotifera","Eurotatoria","Ploima",4.65e-07,1.75e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",4.65e-07,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",4.65e-07,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",4.65e-07,2.72e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",5.9e-07,3.03e-11
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",5.9e-07,2.03e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",5.9e-07,2.39e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",5.9e-07,2.72e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",5.9e-07,1.31e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Adenophorea","Desmodorida","Animalia","Nemata","Adenophorea","Enoplida",8.32e-07,1.25e-07
"Country: Switzerland; Lake Neuch�tel","freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Adenophorea","Enoplida","Animalia","Nemata","Adenophorea","Enoplida",8.32e-07,1.35e-07
"Country: Switzerland; Lake Neuch�tel","freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Adenophorea","Desmodorida","Animalia","Nemata","Secernentea","Diplogasterida",9.3e-07,1.25e-07
"Country: Switzerland; Lake Neuch�tel","freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Adenophorea","Enoplida","Animalia","Nemata","Secernentea","Diplogasterida",9.3e-07,1.35e-07
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",9.5e-07,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Protozoa","Euglenophycota","Euglenophyceae","Euglenales","Animalia","Rotifera","Eurotatoria","Ploima",9.5e-07,1.75e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",9.5e-07,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",9.5e-07,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",9.5e-07,2.72e-10
"Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.55e-06,3.03e-11
"Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire","freshwater","herbivorous","invertebrate","photo-autotroph","Protozoa","Euglenophycota","Euglenophyceae","Euglenales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.55e-06,1.75e-10
