Species,Life stage,Life style,Taxonomic group,Host species,Lake,Season,Number of samples,Minimum sample size,Maximum sample size,Total sample size,Log total sample size,Body mass (mg),Log body mass,Mean density (m²),Log mean,SD,SD/Mean,Variance,Log variance
Nauplii,L,Free-living,Crustacean,,Hayes,September,16,45,2061,8693,3.9391696796,0.000969657,-3.013381863,1086.625,3.036079693,1153.37689,1.061430475,1330278.25,6.12394249
Nauplii,L,Free-living,Crustacean,,Hayes,January,16,227,1502,11426,4.0578942197,0.000969657,-3.013381863,1428.25,3.154804233,650.2027889,0.455244382,422763.6667,5.626097656
Nereid sp,Ad,Free-living,Annelid,,Waihola,May,24,0,1,2,0.3010299957,26.58847501,1.424693429,0.833333333,-0.079181246,2.823298513,3.387958215,7.971014493,0.901513599
Nereid sp,Ad,Free-living,Annelid,,Waihola,January,24,0,1,3,0.4771212547,26.58847501,1.424693429,1.25,0.096910013,3.378319623,2.702655699,11.41304348,1.057401472
Nereid sp,Ad,Free-living,Annelid,,Waihola,September,24,0,1,8,0.903089987,26.58847501,1.424693429,3.333333333,0.522878745,4.815434123,1.444630237,23.1884058,1.365270892
Oecetis sp,L,Free-living parasitised,Insect,,Waihola,January,24,0,5,26,1.414973348,4.15675,0.6187539055,10.16666667,1.007178585,14.28792943,1.405370108,204.1449275,2.309938593
Oecetis sp,L,Free-living parasitised,Insect,,Tomahawk,January,24,0,11,76,1.8808135923,4.15675,0.6187539055,31.66666667,1.500602351,33.31883743,1.052173814,1110.144928,3.045379679
Oecetis sp,L,Free-living parasitised,Insect,,Hayes,January,24,0,33,94,1.9731278536,4.15675,0.6187539055,32.33333333,1.50965048,66.99167156,2.071907368,4487.884058,3.652041629
Oecetis sp,L,Free-living parasitised,Insect,,Hayes,September,24,0,30,170,2.2304489214,4.15675,0.6187539055,40.16666667,1.603865792,56.2105256,1.399432173,3159.623188,3.499635292
Oecetis sp,L,Free-living parasitised,Insect,,Tuakitoto,September,24,0,33,128,2.1072099696,4.15675,0.6187539055,50.33333333,1.701855693,85.92143361,1.70704835,7382.492754,3.868203029
Oecetis sp,L,Free-living parasitised,Insect,,Waihola,September,24,0,21,135,2.1303337685,4.15675,0.6187539055,53.25,1.726319612,54.96184447,1.032147314,3020.804348,3.480122598
Oecetis sp,L,Free-living parasitised,Insect,,Hayes,May,24,0,96,159,2.2013971243,4.15675,0.6187539055,60.91666667,1.784736131,193.2639368,3.172595406,37350.94928,4.572301644
Oecetis sp,L,Free-living parasitised,Insect,,Tuakitoto,January,24,0,23,176,2.2455126678,4.15675,0.6187539055,61.75,1.790636962,66.82960162,1.082260755,4466.195652,3.649937744
Oecetis sp,L,Free-living parasitised,Insect,,Waihola,May,24,0,63,204,2.3096301674,4.15675,0.6187539055,85,1.929418926,130.2172098,1.531967175,16956.52174,4.229336771
Oecetis sp,L,Free-living parasitised,Insect,,Tuakitoto,May,24,0,63,473,2.6748611407,4.15675,0.6187539055,172.0833333,2.23573881,183.0366836,1.06365143,33502.42754,4.525076277
Oecetis sp,L,Free-living parasitised,Insect,,Tomahawk,May,24,0,84,790,2.8976270913,4.15675,0.6187539055,216.0833333,2.334621271,221.0350979,1.022915995,48856.51449,4.68892248
Oecetis sp,L,Free-living parasitised,Insect,,Tomahawk,September,24,1,115,938,2.9722028384,4.15675,0.6187539055,321.5833333,2.507293533,299.4655989,0.931222386,89679.64493,4.95269388
Oncorhynchus mykiss,Ad,Free-living,Fish,,Tomahawk,September,4,0,1,1,0,65000,4.8129133566,0.001111111,-2.954242509,0.002222222,2,0.00000494,-5.306425028
Oncorhynchus mykiss,Ad,Free-living,Fish,,Tomahawk,January,4,0,3,3,0.4771212547,576500,5.7607993116,0.003333333,-2.477121255,0.006666667,2,0.0000444444,-4.352182518
Oncorhynchus mykiss,Ad,Free-living,Fish,,Tomahawk,May,4,0,4,6,0.7781512504,445000,5.648360011,0.006666667,-2.176091259,0.007698004,1.154700538,0.0000592593,-4.227243782
Orchestia sp,Ad,Free-living parasitised,Crustacean,,Waihola,January,24,0,1,1,0,5.412,0.7333577879,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Orchestia sp,Ad,Free-living parasitised,Crustacean,,Waihola,September,24,0,1,4,0.6020599913,5.412,0.7333577879,1.666666667,0.22184875,3.806934938,2.284160963,14.49275362,1.161150909
Orchestia sp,Ad,Free-living parasitised,Crustacean,,Hayes,September,24,0,11,26,1.414973348,5.412,0.7333577879,8.5,0.929418926,24.33998321,2.863527436,592.4347826,2.772640549
Oribatida sp,Ad,Free-living,Mite,,Hayes,September,24,0,3,4,0.6020599913,0.794787496,-0.099748974,0.333333333,-0.477121255,1.274044115,3.822132344,1.623188406,0.210368932
Orthoclad sp,L,Free-living,Insect,,Tomahawk,May,24,0,1,1,0,1.8005,0.2553931257,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Orthoclad sp,L,Free-living,Insect,,Tuakitoto,May,24,0,1,1,0,1.8005,0.2553931257,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Orthoclad sp,L,Free-living,Insect,,Waihola,September,24,0,1,2,0.3010299957,1.8005,0.2553931257,0.833333333,-0.079181246,2.823298513,3.387958215,7.971014493,0.901513599
Orthoclad sp,L,Free-living,Insect,,Tomahawk,September,24,0,1,4,0.6020599913,1.8005,0.2553931257,1.666666667,0.22184875,3.806934938,2.284160963,14.49275362,1.161150909
Orthoclad sp,L,Free-living,Insect,,Hayes,January,24,0,3,7,0.84509804,1.8005,0.2553931257,2.916666667,0.464886798,6.902530517,2.366581891,47.64492754,1.678016671
Orthoclad sp,L,Free-living,Insect,,Hayes,May,24,0,1,1,0,1.8005,0.2553931257,2.916666667,0.464886798,6.902530517,2.366581891,47.64492754,1.678016671
Orthoclad sp,L,Free-living,Insect,,Tuakitoto,January,24,0,2,7,0.84509804,1.8005,0.2553931257,2.916666667,0.464886798,6.240935456,2.139749299,38.94927536,1.590499382
Orthoclad sp,L,Free-living,Insect,,Tomahawk,January,24,0,10,24,1.3802112417,1.8005,0.2553931257,10,1,21.86917624,2.186917624,478.2608696,2.679664849
Orthoclad sp,L,Free-living,Insect,,Tuakitoto,September,24,0,7,27,1.4313637642,1.8005,0.2553931257,11.25,1.051152522,20.70759155,1.840674804,428.8043478,2.63225918
Orthoclad sp,L,Free-living,Insect,,Waihola,January,24,0,8,39,1.591064607,1.8005,0.2553931257,16.25,1.210853365,22.42136016,1.37977601,502.7173913,2.70132391
Orthoclad sp,L,Free-living,Insect,,Hayes,September,24,0,16,93,1.9684829486,1.8005,0.2553931257,38.75,1.588271707,44.36141096,1.144810605,1967.934783,3.294010702
Ostracoda sp,Ad,Free-living,Crustacean,,Waihola,January,24,0,1,1,0,0.207012903,-0.684002584,0.083333333,-1.079181246,0.40824829,4.898979486,0.166666667,-0.77815125
Ostracoda sp,Ad,Free-living,Crustacean,,Waihola,September,24,0,2,4,0.6020599913,0.207012903,-0.684002584,0.333333333,-0.477121255,0.963086825,2.889260474,0.927536232,-0.032669117
Ostracoda sp,Ad,Free-living,Crustacean,,Tuakitoto,January,24,0,24,83,1.9190780924,0.207012903,-0.684002584,6.916666667,0.839896846,12.35671501,1.786513013,152.6884058,2.183806061
Ostracoda sp,Ad,Free-living,Crustacean,,Tuakitoto,May,24,0,37,141,2.1492191127,0.207012903,-0.684002584,11.75,1.070037867,21.09450784,1.795277263,444.9782609,2.648338794
Ostracoda sp,Ad,Free-living,Crustacean,,Tuakitoto,September,24,0,168,411,2.6138418219,0.207012903,-0.684002584,34.25,1.534660576,77.03711697,2.24925889,5934.717391,3.773400043
Ostracoda sp,Ad,Free-living,Crustacean,,Hayes,January,24,0,183,847,2.9278834103,0.207012903,-0.684002584,70.58333333,1.848702164,99.57907789,1.410801576,9915.992754,3.996336201
Ostracoda sp,Ad,Free-living,Crustacean,,Hayes,September,24,0,224,1292,3.1112625137,0.207012903,-0.684002584,107.6666667,2.032081268,147.4816618,1.369798717,21750.84058,4.337476045
Ostracoda sp,Ad,Free-living,Crustacean,,Hayes,May,24,0,306,1456,3.163161375,0.207012903,-0.684002584,121.3333333,2.083980129,169.0316838,1.393118273,28571.71015,4.455936236
Oxyethira sp,L,Free-living,Insect,,Tomahawk,May,24,0,1,1,0,0.48412,-0.315046975,0.083333333,-1.079181246,0.40824829,4.898979486,0.166666667,-0.77815125
Oxyethira sp,L,Free-living,Insect,,Tuakitoto,May,24,0,1,3,0.4771212547,0.48412,-0.315046975,0.25,-0.602059991,0.675663925,2.702655699,0.456521739,-0.340538537
Oxyethira sp,L,Free-living,Insect,,Waihola,January,24,0,1,1,0,0.48412,-0.315046975,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Oxyethira sp,L,Free-living,Insect,,Hayes,January,24,0,1,2,0.3010299957,0.48412,-0.315046975,0.5,-0.301029996,2.449489743,4.898979486,6,0.77815125
Oxyethira sp,L,Free-living,Insect,,Hayes,May,24,0,1,2,0.3010299957,0.48412,-0.315046975,0.5,-0.301029996,2.449489743,4.898979486,6,0.77815125
Paracalliope fluviatilis,Ad,Free-living parasitised,Crustacean,,Tomahawk,January,24,0,43,61,1.785329835,0.6621,-0.179076412,5.083333333,0.706148589,17.52493048,3.447527308,307.1231884,2.487312608
Paracalliope fluviatilis,Ad,Free-living parasitised,Crustacean,,Tomahawk,September,24,0,216,574,2.7589118924,0.6621,-0.179076412,47.83333333,1.679730646,91.69309237,1.91692876,8407.623188,3.924673239
Paracalliope fluviatilis,Ad,Free-living parasitised,Crustacean,,Tomahawk,May,24,4,71,603,2.7803173121,0.6621,-0.179076412,50.25,1.701136066,31.69041825,0.63065509,1004.282609,3.001855942
Paracalliope fluviatilis,Ad,Free-living parasitised,Crustacean,,Waihola,January,24,6,164,1078,3.0326187609,0.6621,-0.179076412,89.83333333,1.953437515,84.12809419,0.936490844,7077.536232,3.849882101
Paracalliope fluviatilis,Ad,Free-living parasitised,Crustacean,,Tuakitoto,September,24,3,240,2137,3.3298045222,0.6621,-0.179076412,178.0833333,2.250623276,163.3736493,0.917399996,26690.94928,4.42636402
Paracalliope fluviatilis,Ad,Free-living parasitised,Crustacean,,Tuakitoto,January,24,6,440,2511,3.3998467127,0.6621,-0.179076412,209.25,2.320665467,246.5538569,1.178274107,60788.80435,4.783823601
Paracalliope fluviatilis,Ad,Free-living parasitised,Crustacean,,Waihola,September,24,2,1245,5640,3.751279104,0.6621,-0.179076412,470,2.672097858,657.0662067,1.398013206,431736,5.635218264
Paracalliope fluviatilis,Ad,Free-living parasitised,Crustacean,,Waihola,May,24,13,2654,9034,3.9558800862,0.6621,-0.179076412,752.8333333,2.87669884,1469.781045,1.952332581,2160256.319,6.334505284
Paracalliope fluviatilis,Ad,Free-living parasitised,Crustacean,,Tuakitoto,May,24,35,8500,18828,4.2748041896,0.6621,-0.179076412,1569,3.195622944,3436.695025,2.190372865,11810872.7,7.072281989
Paracorophium excavatum,Ad,Free-living parasitised,Crustacean,,Waihola,January,24,0,44,124,2.0934216852,1.4283,0.1548194362,51.66666667,1.713210444,112.0041407,2.167822078,12544.92754,4.098468157
Paracorophium excavatum,Ad,Free-living parasitised,Crustacean,,Waihola,May,24,0,97,277,2.4424797691,1.4283,0.1548194362,115.4166667,2.062268527,239.6188852,2.076120305,57417.21015,4.759042087
Paracorophium excavatum,Ad,Free-living parasitised,Crustacean,,Waihola,September,24,0,375,718,2.8561244442,1.4283,0.1548194362,299.1666667,2.475913203,796.5955641,2.662714978,634564.4928,5.802475767
Paratya curvirostris,Ad,Free-living,Crustacean,,Waihola,September,24,0,1,1,0,22.771125,1.3573844873,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Paratya curvirostris,Ad,Free-living,Crustacean,,Waihola,May,24,0,2,8,0.903089987,22.771125,1.3573844873,0.666666667,-0.176091259,1.274044115,1.911066172,1.623188406,0.210368932
Paroxyethira sp,L,Free-living,Insect,,Tomahawk,January,24,0,2,2,0.3010299957,0.7448,-0.127960332,0.166666667,-0.77815125,0.816496581,4.898979486,0.666666667,-0.176091259
Paroxyethira sp,L,Free-living,Insect,,Waihola,May,24,0,2,8,0.903089987,0.7448,-0.127960332,1.333333333,0.124938737,3.21229522,2.409221415,10.31884058,1.013630903
Paroxyethira sp,L,Free-living,Insect,,Tuakitoto,September,24,0,1,7,0.84509804,0.7448,-0.127960332,1.583333333,0.199572355,3.335144436,2.106407012,11.12318841,1.046229293
Paroxyethira sp,L,Free-living,Insect,,Tomahawk,September,24,0,2,8,0.903089987,0.7448,-0.127960332,2.333333333,0.367976785,5.061935243,2.169400818,25.62318841,1.40863317
Paroxyethira sp,L,Free-living,Insect,,Waihola,September,24,0,3,13,1.1139433523,0.7448,-0.127960332,2.416666667,0.383216752,4.968742879,2.056031536,24.6884058,1.392493047
Paroxyethira sp,L,Free-living,Insect,,Tuakitoto,May,24,0,81,159,2.2013971243,0.7448,-0.127960332,13.25,1.122215878,33.04706788,2.494118331,1092.108696,3.038265865
Paroxyethira sp,L,Free-living,Insect,,Waihola,January,24,0,18,79,1.8976270913,0.7448,-0.127960332,18.58333333,1.269123617,21.10412419,1.135647939,445.384058,2.648734668
Paroxyethira sp,L,Free-living,Insect,,Hayes,September,24,0,21,104,2.0170333393,0.7448,-0.127960332,21,1.322219295,24.53037159,1.168112933,601.7391304,2.779408254
Paroxyethira sp,L,Free-living,Insect,,Hayes,May,24,0,15,162,2.2095150145,0.7448,-0.127960332,42.83333333,1.631781873,32.29708113,0.754017458,1043.101449,3.018326549
Paroxyethira sp,L,Free-living,Insect,,Hayes,January,24,0,67,348,2.5415792439,0.7448,-0.127960332,70.33333333,1.847161201,76.67132941,1.090113688,5878.492754,3.769265987
Paroxyethira sp,L,Free-living,Insect,,Tuakitoto,January,24,4,255,1327,3.1228709229,0.7448,-0.127960332,110.5833333,2.043689677,143.2546886,1.295445564,20521.9058,4.31221769
Paroxyethira sp,L,Free-living,Insect,,Tomahawk,May,24,7,149,1358,3.1328997699,0.7448,-0.127960332,113.1666667,2.053718524,85.1309307,0.752261538,7247.275362,3.860174763
Perca fluviatilis,Ad,Free-living parasitised,Fish,,Tomahawk,September,4,0,1,1,0,13580,4.1328997699,0.001111111,-2.954242509,0.002222222,2,0.00000494,-5.306425028
Perca fluviatilis,Ad,Free-living parasitised,Fish,,Tuakitoto,May,4,0,1,2,0.3010299957,1088000,6.0366288954,0.002222222,-2.653212514,0.002566001,1.154700538,0.00000658,-5.181486291
Perca fluviatilis,Ad,Free-living parasitised,Fish,,Hayes,September,4,0,2,5,0.6989700043,19370,4.2871296207,0.005555556,-2.255272505,0.004255232,0.765941686,0.000018107,-4.742153597
Perca fluviatilis,Ad,Free-living parasitised,Fish,,Waihola,May,4,1,2,6,0.7781512504,140816.6667,5.1486540598,0.006666667,-2.176091259,0.002566001,0.384900179,0.00000658,-5.181486291
Perca fluviatilis,Ad,Free-living parasitised,Fish,,Tomahawk,May,4,2,4,12,1.079181246,153792.3077,5.1869346137,0.013333333,-1.875061263,0.003628874,0.272165527,0.0000131687,-4.880456295
Perca fluviatilis,Ad,Free-living parasitised,Fish,,Hayes,May,4,1,14,18,1.2552725051,6016.666667,3.7793559515,0.02,-1.698970004,0.028226013,1.411300658,0.000796708,-3.098700921
Perca fluviatilis,Ad,Free-living parasitised,Fish,,Tuakitoto,January,4,1,27,53,1.7242758696,155280.5882,5.1911171675,0.058888889,-1.22996664,0.058556012,0.99434738,0.003428807,-2.464857012
Perca fluviatilis,Ad,Free-living parasitised,Fish,,Tuakitoto,September,4,2,45,54,1.7323937598,49357.77778,4.6933555984,0.06,-1.22184875,0.093544734,1.559078902,0.008750617,-2.05796131
Perca fluviatilis,Ad,Free-living parasitised,Fish,,Waihola,January,4,0,59,65,1.8129133566,165470,5.2187192669,0.083333333,-1.079181246,0.121790483,1.461485799,0.014832922,-1.828773293
Perca fluviatilis,Ad,Free-living parasitised,Fish,,Hayes,January,4,6,69,197,2.2944662262,19835.55556,4.2974443688,0.218888889,-0.659776283,0.131712369,0.601731635,0.017348148,-1.760746878
Perca fluviatilis,Ad,Free-living parasitised,Fish,,Waihola,September,4,0,266,437,2.640481437,31027.27273,4.4917436032,0.485555556,-0.313761072,0.566469101,1.16664117,0.320887243,-0.493647548
Perca fluviatilis,Ad,Free-living parasitised,Fish,,Tomahawk,January,4,0,601,603,2.7803173121,2540.909091,3.4049891271,0.67,-0.173925197,1.334080655,1.991165156,1.779771193,0.250364173
Physidae,Ad,Free-living,Mollusc,,Waihola,January,24,0,1,1,0,16.66975,1.2219290867,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Physidae,Ad,Free-living,Mollusc,,Tuakitoto,September,24,0,2,5,0.6989700043,16.66975,1.2219290867,2.083333333,0.318758763,5.882299659,2.823503836,34.60144928,1.53909429
Physidae,Ad,Free-living,Mollusc,,Hayes,September,24,0,3,10,1,16.66975,1.2219290867,4.166666667,0.619788758,7.755316082,1.86127586,60.14492754,1.779199006
Physidae,Ad,Free-living,Mollusc,,Tuakitoto,May,24,0,5,26,1.414973348,16.66975,1.2219290867,10.83333333,1.034762106,15.58055272,1.438204867,242.7536232,2.385165721
Physidae,Ad,Free-living,Mollusc,,Tomahawk,September,24,0,15,66,1.8195439355,16.66975,1.2219290867,27.5,1.439332694,37.90720936,1.378443977,1436.956522,3.157443628
Physidae,Ad,Free-living,Mollusc,,Tomahawk,January,24,0,15,76,1.8808135923,16.66975,1.2219290867,31.66666667,1.500602351,41.77232979,1.319126204,1744.927536,3.241777396
Physidae,Ad,Free-living,Mollusc,,Hayes,May,24,0,17,121,2.0827853703,16.66975,1.2219290867,50.41666667,1.702574129,51.45527113,1.020600419,2647.644928,3.422859742
Physidae,Ad,Free-living,Mollusc,,Hayes,January,24,0,49,122,2.0863598307,16.66975,1.2219290867,50.83333333,1.706148589,102.5295998,2.016975734,10512.31884,4.021698525
Physidae,Ad,Free-living,Mollusc,,Tuakitoto,January,24,0,90,211,2.3242824553,16.66975,1.2219290867,87.91666667,1.944071214,206.6709034,2.350759091,42712.86232,4.630558676
Physidae,Ad,Free-living,Mollusc,,Tomahawk,May,24,0,52,310,2.4913616938,16.66975,1.2219290867,129.1666667,2.111150452,141.0185516,1.091756528,19886.23188,4.298552499
Placobdelloides maorica,Ad,Free-living parasitised,Annelid,,Waihola,May,24,0,1,1,0,11.83575,1.0731957832,0.083333333,-1.079181246,0.40824829,4.898979486,0.166666667,-0.77815125
Placobdelloides maorica,Ad,Free-living parasitised,Annelid,,Waihola,September,24,0,1,2,0.3010299957,11.83575,1.0731957832,0.5,-0.301029996,2.449489743,4.898979486,6,0.77815125
Placobdelloides maorica,Ad,Free-living parasitised,Annelid,,Waihola,January,24,0,3,8,0.903089987,11.83575,1.0731957832,1.333333333,0.124938737,3.985480896,2.989110672,15.88405797,1.200961463
Placobdelloides maorica,Ad,Free-living parasitised,Annelid,,Tomahawk,May,24,0,2,17,1.2304489214,11.83575,1.0731957832,4.416666667,0.645094624,5.867498294,1.32849018,34.42753623,1.536905944
Placobdelloides maorica,Ad,Free-living parasitised,Annelid,,Tuakitoto,September,24,0,4,14,1.1461280357,11.83575,1.0731957832,4.5,0.653212514,8.871056993,1.971345998,78.69565217,1.895950739
Placobdelloides maorica,Ad,Free-living parasitised,Annelid,,Tomahawk,January,24,0,2,11,1.0413926852,11.83575,1.0731957832,4.583333333,0.661181443,6.580053301,1.435647993,43.29710145,1.636458823
Placobdelloides maorica,Ad,Free-living parasitised,Annelid,,Tomahawk,September,24,0,5,28,1.4471580313,11.83575,1.0731957832,9,0.954242509,12.37107426,1.374563806,153.0434783,2.184814828
Placobdelloides maorica,Ad,Free-living parasitised,Annelid,,Tuakitoto,May,24,0,5,39,1.591064607,11.83575,1.0731957832,12.58333333,1.099795701,12.6006096,1.001372948,158.7753623,2.200783113
Placobdelloides maorica,Ad,Free-living parasitised,Annelid,,Tuakitoto,January,24,0,53,176,2.2455126678,11.83575,1.0731957832,52,1.716003344,109.5984767,2.107663013,12011.82609,4.079609036
Planaria sp,Ad,Free-living,Other,,Hayes,September,24,0,1,2,0.3010299957,3.19575,0.5045727976,0.833333333,-0.079181246,2.823298513,3.387958215,7.971014493,0.901513599
Planaria sp,Ad,Free-living,Other,,Waihola,May,24,0,2,3,0.4771212547,3.19575,0.5045727976,1.25,0.096910013,4.484272031,3.587417625,20.10869565,1.303383901
Planaria sp,Ad,Free-living,Other,,Waihola,September,24,0,2,3,0.4771212547,3.19575,0.5045727976,1.25,0.096910013,4.484272031,3.587417625,20.10869565,1.303383901
Planaria sp,Ad,Free-living,Other,,Hayes,January,24,0,1,4,0.6020599913,3.19575,0.5045727976,1.333333333,0.124938737,3.370803886,2.528102915,11.36231884,1.055466972
Planaria sp,Ad,Free-living,Other,,Tomahawk,September,24,0,2,4,0.6020599913,3.19575,0.5045727976,1.666666667,0.22184875,4.815434123,2.889260474,23.1884058,1.365270892
Planaria sp,Ad,Free-living,Other,,Tuakitoto,January,24,0,3,4,0.6020599913,3.19575,0.5045727976,1.666666667,0.22184875,6.370220573,3.822132344,40.57971015,1.608308941
Planaria sp,Ad,Free-living,Other,,Tuakitoto,September,24,0,5,7,0.84509804,3.19575,0.5045727976,2.583333333,0.412180448,10.30793981,3.99017025,106.2536232,2.026343748
Planaria sp,Ad,Free-living,Other,,Tomahawk,January,24,0,4,9,0.9542425094,3.19575,0.5045727976,3.75,0.574031268,9.237212077,2.463256554,85.32608696,1.931081829
Planaria sp,Ad,Free-living,Other,,Tuakitoto,May,24,0,4,16,1.2041199827,3.19575,0.5045727976,4.333333333,0.636822098,9.243877723,2.133202552,85.44927536,1.931708384
Planaria sp,Ad,Free-living,Other,,Tomahawk,May,24,0,7,26,1.414973348,3.19575,0.5045727976,10.83333333,1.034762106,20.41241452,1.884222879,416.6666667,2.619788758
Planaria sp,Ad,Free-living,Other,,Hayes,May,24,0,9,44,1.6434526765,3.19575,0.5045727976,15.66666667,1.194976603,26.01448872,1.66049928,676.7536232,2.83043059
Podonominae sp,L,Free-living,Insect,,Hayes,September,24,0,1,1,0,2.2207,0.3464898926,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Potamopyrgus antipodarum,Ad,Free-living parasitised,Mollusc,,Hayes,September,24,5,176,2024,3.3062105082,7.796,0.8918718304,843.3333333,2.925999267,484.3522493,0.57433073,234597.1015,5.370322642
Potamopyrgus antipodarum,Ad,Free-living parasitised,Mollusc,,Tuakitoto,September,24,5,522,2613,3.4171394097,7.796,0.8918718304,1088.75,3.036928168,1564.092493,1.436594712,2446385.326,6.388524863
Potamopyrgus antipodarum,Ad,Free-living parasitised,Mollusc,,Waihola,September,24,11,462,2620,3.4183012913,7.796,0.8918718304,1091.666667,3.03809005,966.3137787,0.885172927,933762.3188,5.970236344
Potamopyrgus antipodarum,Ad,Free-living parasitised,Mollusc,,Tomahawk,September,24,8,312,2965,3.4720246977,7.796,0.8918718304,1235.416667,3.091813456,871.9941123,0.705829973,760373.7319,5.881027105
Potamopyrgus antipodarum,Ad,Free-living parasitised,Mollusc,,Waihola,January,24,1,486,3179,3.5022905279,7.796,0.8918718304,1324.583333,3.122079286,1141.394948,0.861701125,1302782.428,6.114871892
Potamopyrgus antipodarum,Ad,Free-living parasitised,Mollusc,,Hayes,January,24,12,417,3450,3.5378190951,7.796,0.8918718304,1437.5,3.157607853,991.6269021,0.68982741,983323.913,5.992696601
Potamopyrgus antipodarum,Ad,Free-living parasitised,Mollusc,,Hayes,May,24,14,351,3648,3.5620548297,7.796,0.8918718304,1520,3.181843588,950.8120099,0.625534217,904043.4783,5.956189318
Potamopyrgus antipodarum,Ad,Free-living parasitised,Mollusc,,Tomahawk,May,24,10,893,4356,3.6390878711,7.796,0.8918718304,1815,3.258876629,2222.253067,1.224381855,4938408.696,6.693587029
Potamopyrgus antipodarum,Ad,Free-living parasitised,Mollusc,,Tuakitoto,May,24,2,1150,5236,3.7189996379,7.796,0.8918718304,2181.666667,3.338788396,3293.645617,1.509692414,10848101.45,7.035353738
Potamopyrgus antipodarum,Ad,Free-living parasitised,Mollusc,,Tomahawk,January,24,26,4350,15817,4.1991241146,7.796,0.8918718304,6590.416667,3.818912873,12309.18409,1.867739888,151516012.9,8.180458533
Potamopyrgus antipodarum,Ad,Free-living parasitised,Mollusc,,Tuakitoto,January,24,2,5500,19192,4.283120235,7.796,0.8918718304,7996.666667,3.902908993,14172.3821,1.772286216,200856414.5,8.302885706
Potamopyrgus antipodarum,Ad,Free-living parasitised,Mollusc,,Waihola,May,24,28,13500,25144,4.400434368,7.796,0.8918718304,10476.66667,4.020223126,28483.36672,2.718743244,811302179.7,8.909182643
Proboscis worm,Ad,Free-living,Other,,Hayes,January,24,0,1,2,0.3010299957,1.24438499,0.0949547639,0.833333333,-0.079181246,2.823298513,3.387958215,7.971014493,0.901513599
Proboscis worm,Ad,Free-living,Other,,Hayes,September,24,0,2,2,0.3010299957,1.24438499,0.0949547639,0.833333333,-0.079181246,4.082482905,4.898979486,16.66666667,1.22184875
Proboscis worm,Ad,Free-living,Other,,Hayes,May,24,0,22,48,1.6812412374,1.24438499,0.0949547639,20,1.301029996,49.16697372,2.458348686,2417.391304,3.383346956
Procordulia sp,L,Free-living,Insect,,Tuakitoto,September,24,0,1,1,0,429.6467742,2.6331115554,0.083333333,-1.079181246,0.40824829,4.898979486,0.166666667,-0.77815125
Procordulia sp,L,Free-living,Insect,,Waihola,September,24,0,1,1,0,429.6467742,2.6331115554,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Procordulia sp,L,Free-living,Insect,,Tuakitoto,January,24,0,4,7,0.84509804,429.6467742,2.6331115554,0.583333333,-0.234083206,1.815792237,3.112786693,3.297101449,0.51813231
Procordulia sp,L,Free-living,Insect,,Hayes,September,24,0,3,5,0.6989700043,429.6467742,2.6331115554,0.75,-0.124938737,2.34520788,3.12694384,5.5,0.74036269
Procordulia sp,L,Free-living,Insect,,Hayes,January,24,0,1,3,0.4771212547,429.6467742,2.6331115554,1.25,0.096910013,3.378319623,2.702655699,11.41304348,1.057401472
Procordulia sp,L,Free-living,Insect,,Tomahawk,January,24,0,2,5,0.6989700043,429.6467742,2.6331115554,2.083333333,0.318758763,5.089773777,2.443091413,25.9057971,1.41339696
Procordulia sp,L,Free-living,Insect,,Hayes,May,24,0,3,6,0.7781512504,429.6467742,2.6331115554,2.5,0.397940009,6.756639247,2.702655699,45.65217391,1.659461463
Procordulia sp,L,Free-living,Insect,,Tomahawk,September,24,0,5,31,1.4913616938,429.6467742,2.6331115554,11.91666667,1.076154791,15.49731159,1.3004737,240.1666667,2.38051273
Procordulia sp,L,Free-living,Insect,,Tomahawk,May,24,0,19,42,1.6232492904,429.6467742,2.6331115554,17.5,1.243038049,39.80932816,2.274818752,1584.782609,3.199969697
Pycnocentria sp,L,Free-living,Insect,,Hayes,May,24,0,3,3,0.4771212547,4.572425,0.6601465906,1.25,0.096910013,6.123724357,4.898979486,37.5,1.574031268
Retropinna retropinna,Ad,Free-living parasitised,Fish,,Waihola,September,4,0,5,5,0.6989700043,3840,3.5843312244,0.005555556,-2.255272505,0.011111111,2,0.000123457,-3.908485019
Retropinna retropinna,Ad,Free-living parasitised,Fish,,Tuakitoto,September,4,1,2,6,0.7781512504,3230,3.5092025223,0.006666667,-2.176091259,0.002566001,0.384900179,0.00000658,-5.181486291
Retropinna retropinna,Ad,Free-living parasitised,Fish,,Waihola,January,4,0,23,23,1.361727836,1996.25,3.3002149291,0.025555556,-1.592514673,0.051111111,2,0.002612346,-2.582969356
